RECORDID,PERS_N,J_0_6_P,J_7_15_P,J_16_19_P,J_20_24_P,J_25_44_P,J_45_64_P,J_65_79_P,J_80PLUS_P,ALTERSQUOT,JUGENDQUOT,GESAMTQUOT,MANN_N,FRAU_N,FRAU_P,SCHWEIZ_N,AUSLAND_N,AUSLAND_P,FLAECHE_HA,DICHTE_PHA,STICHTAG,E,N
1418355,6,0,33.3,0,0,33.3,0,33.3,0,100,100,200,-999,-999,-999,-999,-999,-999,1,6,20230630,2670450,1260850
1415098,5,0,0,20,20,0,20,40,0,100,50,150,-999,-999,-999,-999,-999,-999,1,5,20230630,2671150,1256950
1439914,8,37.5,0,0,0,37.5,12.5,12.5,0,25,75,100,-999,-999,-999,-999,-999,-999,1,8,20230630,2671050,1257350
1422368,11,0,27.3,0,0,54.5,0,9.1,9.1,33.3,50,83.3,7,4,36.4,-999,-999,-999,1,11,20230630,2671350,1250550
1415441,7,28.6,0,0,0,71.4,0,0,0,0,40,40,-999,-999,-999,-999,-999,-999,1,7,20230630,2671250,1251450
1442741,9,0,22.2,0,0,22.2,11.1,22.2,22.2,133.3,66.7,200,5,4,44.4,-999,-999,-999,1,9,20230630,2671250,1257250
1414435,21,9.5,9.5,0,9.5,19,28.6,0,23.8,41.7,33.3,75,13,8,38.1,-999,-999,-999,1,21,20230630,2671550,1250350
1423237,31,9.7,16.1,0,0,25.8,16.1,12.9,19.4,76.9,61.5,138.5,15,16,51.6,-999,-999,-999,1,31,20230630,2671650,1250450
1419414,30,3.3,3.3,3.3,10,16.7,30,30,3.3,58.8,17.6,76.5,16,14,46.7,22,8,26.7,1,30,20230630,2671650,1256750
1427527,27,0,0,0,3.7,18.5,59.3,18.5,0,22.7,0,22.7,15,12,44.4,16,11,40.7,1,27,20230630,2671650,1256950
1427750,16,0,0,0,6.3,50,25,12.5,6.3,23.1,0,23.1,12,4,25,8,8,50,1,16,20230630,2671450,1257350
1427292,21,0,0,14.3,4.8,14.3,33.3,23.8,9.5,63.6,27.3,90.9,9,12,57.1,17,4,19,1,21,20230630,2671450,1257450
1446035,30,6.7,16.7,3.3,3.3,13.3,16.7,36.7,3.3,120,80,200,14,16,53.3,-999,-999,-999,1,30,20230630,2671450,1257550
1435293,22,13.6,4.5,9.1,13.6,31.8,13.6,9.1,4.5,23.1,46.2,69.2,9,13,59.1,-999,-999,-999,1,22,20230630,2671650,1257550
1443239,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,-999,20230630,2671850,1249950
1412434,64,3.1,7.8,3.1,3.1,32.8,29.7,17.2,3.1,31,21.4,52.4,33,31,48.4,38,26,40.6,1,64,20230630,2671750,1250450
1416302,205,9.3,12.7,2.9,7.3,28.8,27.3,5.4,6.3,18.5,39.2,57.7,98,107,52.2,107,98,47.8,1,205,20230630,2671950,1250650
1417290,164,12.2,11.6,0.6,2.4,33.5,23.8,8.5,7.3,26.5,40.8,67.3,85,79,48.2,81,83,50.6,1,164,20230630,2671950,1250850
1412057,134,10.4,9,2.2,1.5,26.9,23.9,14.2,11.9,50,41.4,91.4,74,60,44.8,86,48,35.8,1,134,20230630,2671950,1250950
1435508,161,9.3,9.3,6.8,6.8,34.8,23.6,6.8,2.5,14.3,39,53.3,85,76,47.2,38,123,76.4,1,161,20230630,2671950,1251250
1446406,16,0,0,0,6.3,31.3,37.5,18.8,6.3,33.3,0,33.3,8,8,50,-999,-999,-999,1,16,20230630,2671950,1253850
1436719,21,4.8,9.5,4.8,9.5,23.8,33.3,4.8,9.5,21.4,28.6,50,7,14,66.7,-999,-999,-999,1,21,20230630,2671850,1253950
1438601,6,0,0,0,0,16.7,16.7,66.7,0,200,0,200,-999,-999,-999,-999,-999,-999,1,6,20230630,2671750,1255350
1431765,61,13.1,6.6,1.6,1.6,42.6,18,8.2,8.2,26.3,34.2,60.5,33,28,45.9,33,28,45.9,1,61,20230630,2671750,1257150
1442520,34,0,11.8,11.8,5.9,5.9,58.8,0,5.9,8.3,33.3,41.7,14,20,58.8,29,5,14.7,1,34,20230630,2671850,1257250
1443648,23,0,17.4,8.7,21.7,0,52.2,0,0,0,35.3,35.3,13,10,43.5,-999,-999,-999,1,23,20230630,2671950,1257450
1427316,47,6.4,12.8,2.1,2.1,27.7,29.8,4.3,14.9,32.1,35.7,67.9,26,21,44.7,27,20,42.6,1,47,20230630,2672150,1250250
1443554,240,8.3,12.9,5,6.3,32.9,22.1,12.1,0.4,20.4,42.9,63.3,120,120,50,93,147,61.3,1,240,20230630,2672050,1251350
1440040,265,7.9,14.7,4.2,4.9,34.3,21.5,9.4,3,20.5,44.1,64.6,137,128,48.3,83,182,68.7,1,265,20230630,2672150,1251250
1427822,25,0,8,0,8,28,24,32,0,53.3,13.3,66.7,14,11,44,18,7,28,1,25,20230630,2672050,1251550
1433471,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,-999,20230630,2672250,1252550
1417531,57,7,3.5,0,0,29.8,35.1,17.5,7,37.8,16.2,54.1,31,26,45.6,39,18,31.6,1,57,20230630,2672050,1253450
1423703,29,10.3,6.9,3.4,3.4,27.6,31,17.2,0,27.8,33.3,61.1,15,14,48.3,23,6,20.7,1,29,20230630,2672150,1253450
1435983,20,20,5,10,0,30,25,10,0,18.2,63.6,81.8,12,8,40,16,4,20,1,20,20230630,2672150,1253950
1445032,11,18.2,0,0,0,18.2,18.2,27.3,18.2,125,50,175,6,5,45.5,-999,-999,-999,1,11,20230630,2672250,1257150
1438407,5,0,0,0,20,40,40,0,0,0,0,0,-999,-999,-999,-999,-999,-999,1,5,20230630,2672050,1260550
1440348,83,9.6,9.6,2.4,4.8,28.9,15.7,20.5,8.4,58.5,43.9,102.4,35,48,57.8,62,21,25.3,1,83,20230630,2672450,1249950
1443740,52,1.9,5.8,1.9,9.6,28.8,36.5,9.6,5.8,20.5,12.8,33.3,32,20,38.5,31,21,40.4,1,52,20230630,2672350,1250650
1431395,66,1.5,6.1,6.1,7.6,42.4,27.3,9.1,0,11.8,17.6,29.4,38,28,42.4,38,28,42.4,1,66,20230630,2672350,1251150
1435509,144,4.9,9.7,3.5,7.6,29.9,29.9,9.7,4.9,21.6,26.8,48.5,73,71,49.3,75,69,47.9,1,144,20230630,2672350,1251350
1421643,146,1.4,6.2,2.7,7.5,32.9,37,8.2,4.1,15.9,13.3,29.2,85,61,41.8,59,87,59.6,1,146,20230630,2672450,1251350
1429160,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,-999,20230630,2672450,1252250
1432780,11,0,0,18.2,9.1,36.4,9.1,0,27.3,50,33.3,83.3,7,4,36.4,-999,-999,-999,1,11,20230630,2672450,1258250
1431725,4,0,0,0,0,25,0,75,0,300,0,300,-999,-999,-999,-999,-999,-999,1,4,20230630,2672750,1236950
1446521,44,0,13.6,6.8,4.5,22.7,38.6,11.4,2.3,20.7,31,51.7,22,22,50,33,11,25,1,44,20230630,2672550,1250050
1439368,79,12.7,5.1,1.3,2.5,30.4,32.9,15.2,0,23.1,28.8,51.9,39,40,50.6,57,22,27.8,1,79,20230630,2672650,1250050
1419434,8,25,25,0,0,25,25,0,0,0,100,100,4,4,50,-999,-999,-999,1,8,20230630,2672750,1249950
1422743,37,8.1,16.2,0,2.7,32.4,16.2,18.9,5.4,47.4,47.4,94.7,22,15,40.5,29,8,21.6,1,37,20230630,2672550,1250150
1431430,11,0,9.1,0,9.1,36.4,27.3,18.2,0,25,12.5,37.5,5,6,54.5,-999,-999,-999,1,11,20230630,2672550,1250350
1437431,8,0,0,0,0,25,12.5,50,12.5,166.7,0,166.7,-999,-999,-999,-999,-999,-999,1,8,20230630,2672650,1250750
1440131,57,3.5,5.3,5.3,3.5,21.1,35.1,15.8,10.5,44.1,23.5,67.6,27,30,52.6,39,18,31.6,1,57,20230630,2672750,1253050
1425480,51,7.8,13.7,3.9,2,25.5,33.3,11.8,2,22.6,41.9,64.5,29,22,43.1,37,14,27.5,1,51,20230630,2672750,1255650
1437784,5,0,0,0,0,20,40,0,40,66.7,0,66.7,-999,-999,-999,-999,-999,-999,1,5,20230630,2672550,1256750
1434133,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,-999,20230630,2672750,1256650
1446897,17,0,0,5.9,0,64.7,29.4,0,0,0,6.3,6.3,-999,-999,-999,-999,-999,-999,1,17,20230630,2672750,1256950
1416045,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,-999,20230630,2672550,1258050
1440380,39,0,20.5,10.3,12.8,23.1,28.2,5.1,0,8,48,56,23,16,41,-999,-999,-999,1,39,20230630,2672850,1237350
1445097,25,4,4,8,0,28,24,20,12,61.5,30.8,92.3,12,13,52,15,10,40,1,25,20230630,2672950,1237450
1447223,9,0,0,0,0,22.2,66.7,0,11.1,12.5,0,12.5,5,4,44.4,-999,-999,-999,1,9,20230630,2672950,1249650
1419282,16,18.8,6.3,0,0,12.5,18.8,18.8,25,140,80,220,7,9,56.3,-999,-999,-999,1,16,20230630,2672850,1249850
1413193,60,6.7,6.7,0,3.3,23.3,10,31.7,18.3,136.4,36.4,172.7,29,31,51.7,45,15,25,1,60,20230630,2672950,1250450
1445657,93,0,8.6,1.1,5.4,14,31.2,21.5,18.3,78.7,19.1,97.9,43,50,53.8,76,17,18.3,1,93,20230630,2673050,1250350
1415425,29,0,10.3,10.3,10.3,20.7,27.6,13.8,6.9,35.3,35.3,70.6,14,15,51.7,25,4,13.8,1,29,20230630,2672950,1252750
1437572,51,13.7,7.8,2,2,27.5,27.5,9.8,9.8,34.5,41.4,75.9,28,23,45.1,39,12,23.5,1,51,20230630,2672850,1252950
1442370,27,0,3.7,3.7,3.7,11.1,22.2,55.6,0,150,20,170,13,14,51.9,22,5,18.5,1,27,20230630,2673050,1253050
1415178,17,5.9,0,5.9,0,23.5,41.2,0,23.5,36.4,18.2,54.5,9,8,47.1,9,8,47.1,1,17,20230630,2672850,1255350
1430494,38,5.3,7.9,0,5.3,23.7,36.8,18.4,2.6,32,20,52,18,20,52.6,29,9,23.7,1,38,20230630,2672850,1255550
1441776,19,0,21.1,5.3,0,36.8,26.3,0,10.5,16.7,41.7,58.3,11,8,42.1,8,11,57.9,1,19,20230630,2672950,1255750
1419594,16,0,0,0,0,25,50,25,0,33.3,0,33.3,7,9,56.3,6,10,62.5,1,16,20230630,2672950,1255850
1436259,19,0,5.3,5.3,10.5,36.8,31.6,10.5,0,13.3,13.3,26.7,12,7,36.8,12,7,36.8,1,19,20230630,2672850,1257050
1443205,6,0,0,0,0,16.7,50,33.3,0,50,0,50,-999,-999,-999,-999,-999,-999,1,6,20230630,2673350,1235150
1435761,8,0,25,12.5,12.5,37.5,12.5,0,0,0,60,60,-999,-999,-999,-999,-999,-999,1,8,20230630,2673150,1236650
1440587,33,12.1,6.1,12.1,6.1,18.2,33.3,9.1,3,21.1,52.6,73.7,12,21,63.6,18,15,45.5,1,33,20230630,2673250,1236750
1424606,4,50,0,0,0,50,0,0,0,0,100,100,-999,-999,-999,-999,-999,-999,1,4,20230630,2673150,1237750
1438269,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,-999,20230630,2673150,1238150
1434887,96,6.3,5.2,4.2,6.3,36.5,24,13.5,4.2,26.6,23.4,50,51,45,46.9,37,59,61.5,1,96,20230630,2673350,1250350
1423413,98,4.1,5.1,3.1,6.1,32.7,28.6,12.2,8.2,30.3,18.2,48.5,44,54,55.1,73,25,25.5,1,98,20230630,2673250,1253150
1436610,16,6.3,25,6.3,12.5,18.8,31.3,0,0,0,60,60,10,6,37.5,-999,-999,-999,1,16,20230630,2673150,1255050
1419781,39,0,0,7.7,2.6,2.6,43.6,35.9,7.7,89.5,15.8,105.3,17,22,56.4,-999,-999,-999,1,39,20230630,2673250,1258050
1427658,29,6.9,0,0,0,34.5,24.1,17.2,17.2,58.8,11.8,70.6,14,15,51.7,22,7,24.1,1,29,20230630,2673450,1236950
1437866,30,0,6.7,3.3,0,13.3,23.3,40,13.3,145.5,27.3,172.7,16,14,46.7,-999,-999,-999,1,30,20230630,2673550,1236750
1432310,42,4.8,14.3,2.4,2.4,21.4,26.2,28.6,0,57.1,42.9,100,22,20,47.6,37,5,11.9,1,42,20230630,2673450,1237050
1438073,4,0,0,0,0,25,75,0,0,0,0,0,-999,-999,-999,-999,-999,-999,1,4,20230630,2673450,1238250
1415530,4,0,0,0,0,50,25,25,0,33.3,0,33.3,-999,-999,-999,-999,-999,-999,1,4,20230630,2673450,1244450
1425703,130,13.1,10,6.2,5.4,34.6,22.3,6.2,2.3,13.6,46.9,60.5,65,65,50,56,74,56.9,1,130,20230630,2673550,1249950
1421403,130,4.6,3.1,6.9,4.6,31.5,27.7,12.3,9.2,33.7,22.9,56.6,70,60,46.2,80,50,38.5,1,130,20230630,2673450,1250250
1418616,175,6.3,16.6,5.1,6.9,29.1,25.1,6.3,4.6,17.8,45.8,63.6,93,82,46.9,74,101,57.7,1,175,20230630,2673550,1250250
1427281,106,5.7,9.4,2.8,5.7,34.9,34,7.5,0,10.1,24.1,34.2,68,38,35.8,26,80,75.5,1,106,20230630,2673450,1251150
1425893,86,16.3,10.5,1.2,4.7,40.7,17.4,4.7,4.7,14.8,44.4,59.3,47,39,45.3,28,58,67.4,1,86,20230630,2673550,1251050
1436906,53,7.5,18.9,9.4,3.8,18.9,30.2,7.5,3.8,21.4,67.9,89.3,24,29,54.7,38,15,28.3,1,53,20230630,2673550,1252050
1440984,146,6.2,13,8.9,5.5,21.9,30.1,11.6,2.7,25,48.8,73.8,73,73,50,110,36,24.7,1,146,20230630,2673450,1252850
1426424,146,8.9,8.2,3.4,2.7,37.7,21.9,13,4.1,27.5,33,60.4,78,68,46.6,112,34,23.3,1,146,20230630,2673450,1252950
1415620,8,25,0,12.5,25,12.5,25,0,0,0,60,60,-999,-999,-999,-999,-999,-999,1,8,20230630,2673850,1234850
1428055,28,0,14.3,7.1,3.6,3.6,39.3,21.4,10.7,69.2,46.2,115.4,13,15,53.6,-999,-999,-999,1,28,20230630,2673650,1236850
1416731,33,3,15.2,3,0,12.1,39.4,21.2,6.1,52.9,41.2,94.1,16,17,51.5,-999,-999,-999,1,33,20230630,2673750,1249350
1428722,7,28.6,28.6,14.3,0,28.6,0,0,0,0,250,250,-999,-999,-999,-999,-999,-999,1,7,20230630,2673750,1249650
1422021,162,13,8,4.3,4.3,40.7,20.4,6.8,2.5,14.2,38.7,52.8,78,84,51.9,75,87,53.7,1,162,20230630,2673650,1249950
1416557,183,6,6.6,3.8,8.7,29.5,29.5,10.9,4.9,23.4,24.2,47.6,97,86,47,93,90,49.2,1,183,20230630,2673850,1250050
1416942,102,2.9,10.8,2.9,6.9,25.5,34.3,15.7,1,25,25,50,52,50,49,75,27,26.5,1,102,20230630,2673650,1251150
1431149,24,4.2,4.2,4.2,4.2,33.3,29.2,20.8,0,31.3,18.8,50,12,12,50,5,19,79.2,1,24,20230630,2673750,1251550
1444926,117,6.8,14.5,6,7.7,29.1,25.6,5.1,5.1,16.4,43.8,60.3,59,58,49.6,56,61,52.1,1,117,20230630,2673850,1251650
1413013,85,0,9.4,0,0,18.8,40,22.4,9.4,54,16,70,45,40,47.1,43,42,49.4,1,85,20230630,2673750,1251850
1424332,4,0,0,25,25,0,50,0,0,0,33.3,33.3,-999,-999,-999,-999,-999,-999,1,4,20230630,2673650,1255550
1416597,82,7.3,19.5,2.4,2.4,36.6,26.8,3.7,1.2,7.4,44.4,51.9,44,38,46.3,48,34,41.5,1,82,20230630,2673950,1235050
1426197,74,5.4,16.2,5.4,4.1,37.8,21.6,5.4,4.1,14.9,42.6,57.4,41,33,44.6,51,23,31.1,1,74,20230630,2674050,1234850
1427398,69,1.4,14.5,7.2,11.6,11.6,36.2,17.4,0,29.3,39,68.3,35,34,49.3,-999,-999,-999,1,69,20230630,2673950,1235150
1425431,41,2.4,9.8,9.8,4.9,2.4,34.1,22,14.6,88.2,52.9,141.2,23,18,43.9,34,7,17.1,1,41,20230630,2673950,1235250
1441855,22,4.5,22.7,4.5,0,4.5,40.9,18.2,4.5,50,70,120,8,14,63.6,-999,-999,-999,1,22,20230630,2673950,1235350
1420571,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,-999,20230630,2674150,1237250
1417303,16,0,25,6.3,12.5,31.3,18.8,6.3,0,10,50,60,8,8,50,-999,-999,-999,1,16,20230630,2674050,1244950
1422939,63,3.2,6.3,1.6,3.2,19,22.2,20.6,23.8,100,25,125,27,36,57.1,48,15,23.8,1,63,20230630,2674150,1249250
1441306,78,10.3,9,5.1,6.4,37.2,24.4,5.1,2.6,11.3,35.8,47.2,34,44,56.4,41,37,47.4,1,78,20230630,2674050,1250050
1441251,49,6.1,8.2,6.1,10.2,34.7,28.6,4.1,2,8.3,27.8,36.1,24,25,51,33,16,32.7,1,49,20230630,2673950,1250250
1423015,10,0,20,0,0,0,40,20,20,100,50,150,6,4,40,-999,-999,-999,1,10,20230630,2674050,1252650
1433323,10,0,0,0,0,10,10,60,20,400,0,400,5,5,50,-999,-999,-999,1,10,20230630,2674250,1234750
1426949,38,5.3,23.7,10.5,2.6,21.1,15.8,18.4,2.6,53.3,100,153.3,24,14,36.8,29,9,23.7,1,38,20230630,2674250,1234850
1415107,6,33.3,0,0,0,33.3,33.3,0,0,0,50,50,-999,-999,-999,-999,-999,-999,1,6,20230630,2674350,1238550
1421767,63,3.2,11.1,7.9,4.8,30.2,34.9,4.8,3.2,11.4,31.8,43.2,33,30,47.6,39,24,38.1,1,63,20230630,2674350,1248250
1430681,149,2.7,15.4,5.4,4.7,14.1,29.5,18.1,10.1,58.3,48.6,106.9,72,77,51.7,117,32,21.5,1,149,20230630,2674350,1248650
1425882,108,8.3,12,9.3,0.9,31.5,19.4,13,5.6,35.7,57.1,92.9,51,57,52.8,84,24,22.2,1,108,20230630,2674250,1248850
1426388,155,7.7,7.1,2.6,5.2,31.6,18.1,16.8,11,50.6,31.8,82.4,72,83,53.5,105,50,32.3,1,155,20230630,2674250,1249050
1417241,129,6.2,10.9,5.4,7.8,38.8,18.6,7.8,4.7,19,34.5,53.6,69,60,46.5,70,59,45.7,1,129,20230630,2674350,1249150
1435944,79,6.3,5.1,1.3,7.6,44.3,25.3,6.3,3.8,13.1,16.4,29.5,42,37,46.8,37,42,53.2,1,79,20230630,2674350,1249250
1427217,121,14,7.4,2.5,6.6,47.9,18.2,1.7,1.7,4.5,33,37.5,67,54,44.6,40,81,66.9,1,121,20230630,2674350,1250050
1433343,4,0,0,0,25,0,75,0,0,0,0,0,-999,-999,-999,-999,-999,-999,1,4,20230630,2674350,1250450
1428871,4,0,0,0,0,75,25,0,0,0,0,0,-999,-999,-999,-999,-999,-999,1,4,20230630,2674350,1255650
1420593,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,-999,20230630,2674650,1235050
1445385,39,2.6,12.8,0,2.6,33.3,30.8,15.4,2.6,26.9,23.1,50,17,22,56.4,28,11,28.2,1,39,20230630,2674550,1235350
1423174,19,15.8,5.3,0,0,31.6,31.6,15.8,0,25,33.3,58.3,10,9,47.4,4,15,78.9,1,19,20230630,2674650,1235550
1442026,22,0,18.2,9.1,4.5,27.3,22.7,18.2,0,33.3,50,83.3,12,10,45.5,18,4,18.2,1,22,20230630,2674550,1235850
1442432,20,0,5,5,5,60,20,0,5,5.9,11.8,17.6,11,9,45,-999,-999,-999,1,20,20230630,2674650,1235950
1437690,5,0,0,0,0,20,20,40,20,150,0,150,-999,-999,-999,-999,-999,-999,1,5,20230630,2674450,1242250
1441702,5,0,0,0,0,0,60,40,0,66.7,0,66.7,-999,-999,-999,-999,-999,-999,1,5,20230630,2674550,1250650
1424376,9,22.2,0,0,11.1,22.2,22.2,22.2,0,40,40,80,4,5,55.6,-999,-999,-999,1,9,20230630,2674650,1256850
1434677,12,0,16.7,0,0,8.3,33.3,33.3,8.3,100,40,140,6,6,50,-999,-999,-999,1,12,20230630,2674950,1234850
1440710,19,10.5,0,10.5,0,15.8,57.9,5.3,0,7.1,28.6,35.7,11,8,42.1,-999,-999,-999,1,19,20230630,2674950,1235150
1432209,14,21.4,14.3,0,0,14.3,0,28.6,21.4,350,250,600,6,8,57.1,-999,-999,-999,1,14,20230630,2674750,1235550
1437290,40,15,17.5,5,2.5,27.5,20,12.5,0,25,75,100,21,19,47.5,-999,-999,-999,1,40,20230630,2674750,1235850
1412084,81,3.7,6.2,2.5,3.7,12.3,33.3,21,17.3,77.5,25,102.5,34,47,58,66,15,18.5,1,81,20230630,2674850,1248150
1412144,90,8.9,5.6,2.2,4.4,34.4,26.7,11.1,6.7,27.1,25.4,52.5,48,42,46.7,60,30,33.3,1,90,20230630,2674750,1248450
1438946,121,9.1,9.1,5.8,5,38.8,19.8,9.9,2.5,19.5,37.7,57.1,57,64,52.9,63,58,47.9,1,121,20230630,2674750,1249150
1412992,17,0,5.9,11.8,17.6,17.6,35.3,0,11.8,16.7,25,41.7,6,11,64.7,-999,-999,-999,1,17,20230630,2674950,1249150
1431194,209,9.6,15.3,6.7,6.7,30.1,24.9,6.2,0.5,10.9,51.2,62,118,91,43.5,59,150,71.8,1,209,20230630,2674750,1250050
1432467,34,0,5.9,11.8,5.9,17.6,47.1,5.9,5.9,16.7,25,41.7,24,10,29.4,26,8,23.5,1,34,20230630,2674950,1252750
1419290,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,-999,20230630,2674950,1252850
1437362,9,0,44.4,0,0,22.2,22.2,11.1,0,25,100,125,-999,-999,-999,-999,-999,-999,1,9,20230630,2674950,1255550
1432967,8,25,0,0,12.5,12.5,37.5,12.5,0,20,40,60,-999,-999,-999,-999,-999,-999,1,8,20230630,2674750,1256850
1422266,20,20,20,0,0,35,15,10,0,20,80,100,9,11,55,-999,-999,-999,1,20,20230630,2674850,1257150
1435805,23,8.7,21.7,8.7,0,26.1,21.7,8.7,4.3,27.3,81.8,109.1,10,13,56.5,-999,-999,-999,1,23,20230630,2674850,1257250
1412889,19,10.5,21.1,0,0,26.3,21.1,10.5,10.5,44.4,66.7,111.1,8,11,57.9,-999,-999,-999,1,19,20230630,2675050,1234750
1411780,29,6.9,0,0,0,13.8,41.4,10.3,27.6,68.8,12.5,81.3,15,14,48.3,-999,-999,-999,1,29,20230630,2675150,1234750
1420056,8,12.5,25,0,0,37.5,12.5,0,12.5,25,75,100,4,4,50,-999,-999,-999,1,8,20230630,2675250,1234750
1441518,16,0,0,0,6.3,6.3,31.3,25,31.3,128.6,0,128.6,9,7,43.8,-999,-999,-999,1,16,20230630,2675050,1234950
1412092,44,6.8,4.5,6.8,11.4,34.1,25,9.1,2.3,16.1,25.8,41.9,25,19,43.2,26,18,40.9,1,44,20230630,2675050,1235350
1445919,11,0,0,0,18.2,36.4,27.3,18.2,0,22.2,0,22.2,6,5,45.5,7,4,36.4,1,11,20230630,2675150,1235350
1415364,4,25,0,0,0,50,0,25,0,50,50,100,-999,-999,-999,-999,-999,-999,1,4,20230630,2675050,1237550
1423979,6,16.7,0,33.3,0,33.3,0,16.7,0,50,150,200,-999,-999,-999,-999,-999,-999,1,6,20230630,2675150,1239750
1418809,8,0,25,25,0,0,25,25,0,100,200,300,-999,-999,-999,-999,-999,-999,1,8,20230630,2675250,1243750
1433539,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,-999,20230630,2675050,1244950
1428635,5,0,0,0,0,40,60,0,0,0,0,0,-999,-999,-999,-999,-999,-999,1,5,20230630,2675050,1245650
1421858,24,0,8.3,8.3,8.3,4.2,41.7,12.5,16.7,53.8,30.8,84.6,12,12,50,-999,-999,-999,1,24,20230630,2675150,1248750
1442820,15,0,13.3,6.7,6.7,6.7,26.7,20,20,100,50,150,7,8,53.3,-999,-999,-999,1,15,20230630,2675250,1248850
1427949,18,0,0,0,27.8,16.7,44.4,11.1,0,12.5,0,12.5,12,6,33.3,10,8,44.4,1,18,20230630,2675150,1249350
1442307,5,0,0,0,20,0,60,20,0,25,0,25,-999,-999,-999,-999,-999,-999,1,5,20230630,2675250,1249250
1427056,77,11.7,1.3,2.6,2.6,64.9,10.4,5.2,1.3,8.3,20,28.3,48,29,37.7,51,26,33.8,1,77,20230630,2675050,1250150
1437348,48,6.3,12.5,0,2.1,37.5,35.4,6.3,0,8.3,25,33.3,28,20,41.7,17,31,64.6,1,48,20230630,2675150,1252550
1440907,59,0,13.6,6.8,6.8,20.3,32.2,11.9,8.5,34.3,34.3,68.6,23,36,61,44,15,25.4,1,59,20230630,2675150,1252650
1437054,28,10.7,10.7,7.1,3.6,25,21.4,21.4,0,42.9,57.1,100,13,15,53.6,22,6,21.4,1,28,20230630,2675150,1252750
1419743,33,0,6.1,3,0,27.3,42.4,21.2,0,30.4,13,43.5,16,17,51.5,27,6,18.2,1,33,20230630,2675250,1252750
1438222,4,0,50,0,0,0,50,0,0,0,100,100,-999,-999,-999,-999,-999,-999,1,4,20230630,2675050,1253050
1438993,48,8.3,16.7,2.1,2.1,29.2,25,12.5,4.2,29.6,48.1,77.8,26,22,45.8,40,8,16.7,1,48,20230630,2675250,1252850
1421937,13,0,15.4,15.4,0,15.4,38.5,15.4,0,28.6,57.1,85.7,5,8,61.5,-999,-999,-999,1,13,20230630,2675150,1254450
1444996,160,5,5,1.3,1.9,23.1,33.8,24.4,5.6,51.1,19.1,70.2,77,83,51.9,148,12,7.5,1,160,20230630,2675250,1254750
1425751,69,4.3,11.6,2.9,10.1,20.3,33.3,17.4,0,27.3,29.5,56.8,37,32,46.4,57,12,17.4,1,69,20230630,2675050,1256350
1412927,86,8.1,4.7,1.2,2.3,26.7,27.9,27.9,1.2,51,24.5,75.5,38,48,55.8,82,4,4.7,1,86,20230630,2675050,1256450
1431146,60,0,13.3,6.7,18.3,5,38.3,15,3.3,29.7,32.4,62.2,28,32,53.3,-999,-999,-999,1,60,20230630,2675150,1257150
1442602,4,0,0,25,25,25,25,0,0,0,33.3,33.3,-999,-999,-999,-999,-999,-999,1,4,20230630,2675250,1259150
1441641,17,0,5.9,0,5.9,29.4,47.1,11.8,0,14.3,7.1,21.4,8,9,52.9,12,5,29.4,1,17,20230630,2675050,1259450
1424216,21,4.8,0,4.8,9.5,23.8,28.6,19,9.5,46.2,15.4,61.5,7,14,66.7,15,6,28.6,1,21,20230630,2675150,1259650
1446447,6,0,0,0,0,33.3,16.7,50,0,100,0,100,-999,-999,-999,-999,-999,-999,1,6,20230630,2675150,1260250
1437167,33,6.1,15.2,12.1,6.1,18.2,33.3,6.1,3,15.8,57.9,73.7,19,14,42.4,27,6,18.2,1,33,20230630,2675050,1260550
1414278,34,14.7,5.9,2.9,5.9,58.8,8.8,2.9,0,4,32,36,17,17,50,22,12,35.3,1,34,20230630,2675250,1260450
1447388,5,20,0,0,0,40,40,0,0,0,25,25,-999,-999,-999,-999,-999,-999,1,5,20230630,2675350,1237650
1445614,12,0,0,8.3,0,0,41.7,50,0,120,20,140,7,5,41.7,-999,-999,-999,1,12,20230630,2675450,1237650
1438899,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,-999,20230630,2675350,1238550
1420324,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,-999,20230630,2675450,1238350
