RECORDID,PERS_N,J_0_6_P,J_7_15_P,J_16_19_P,J_20_24_P,J_25_44_P,J_45_64_P,J_65_79_P,J_80PLUS_P,ALTERSQUOT,JUGENDQUOT,GESAMTQUOT,MANN_N,FRAU_N,FRAU_P,SCHWEIZ_N,AUSLAND_N,AUSLAND_P,FLAECHE_HA,DICHTE_PHA,STICHTAG,E,N
1420870,45,8.9,11.1,4.4,11.1,35.6,22.2,6.7,0,9.7,35.5,45.2,23,22,48.9,24,21,46.7,1,45,20230630,2683150,1243550
1447833,6,33.3,0,0,0,66.7,0,0,0,0,50,50,-999,-999,-999,-999,-999,-999,1,6,20230630,2682950,1246750
1436679,8,0,0,0,62.5,37.5,0,0,0,0,0,0,-999,-999,-999,-999,-999,-999,1,8,20230630,2682950,1247450
1431868,178,2.2,11.8,2.8,0.6,33.1,34.3,9,6.2,22.3,24.8,47.1,95,83,46.6,121,57,32,1,178,20230630,2682950,1249050
1445127,132,6.8,6.1,3.8,5.3,42.4,24.2,6.8,4.5,15.8,23.2,38.9,76,56,42.4,89,43,32.6,1,132,20230630,2683050,1250250
1412673,113,0.9,2.7,1.8,4.4,72.6,15.9,1.8,0,1.9,5.7,7.6,64,49,43.4,64,49,43.4,1,113,20230630,2683150,1250350
1439309,65,10.8,6.2,0,0,63.1,16.9,3.1,0,3.8,21.2,25,32,33,50.8,23,42,64.6,1,65,20230630,2682950,1250750
1432085,83,1.2,13.3,10.8,2.4,20.5,44.6,7.2,0,10.7,37.5,48.2,49,34,41,69,14,16.9,1,83,20230630,2683150,1250750
1430122,71,1.4,7,1.4,7,39.4,26.8,11.3,5.6,23.1,13.5,36.5,36,35,49.3,56,15,21.1,1,71,20230630,2683050,1251350
1435871,22,0,0,0,9.1,81.8,9.1,0,0,0,0,0,14,8,36.4,13,9,40.9,1,22,20230630,2682950,1251450
1416726,182,0.5,2.7,1.1,15.9,53.3,20.9,3.3,2.2,6.1,4.9,11,109,73,40.1,94,88,48.4,1,182,20230630,2682950,1251550
1437132,65,0,16.9,0,4.6,27.7,12.3,9.2,29.2,86.2,37.9,124.1,24,41,63.1,48,17,26.2,1,65,20230630,2683150,1251450
1440462,21,4.8,4.8,4.8,0,52.4,23.8,9.5,0,12.5,18.8,31.3,11,10,47.6,9,12,57.1,1,21,20230630,2682950,1251750
1435953,118,7.6,10.2,4.2,6.8,41.5,23.7,1.7,4.2,8.2,30.6,38.8,64,54,45.8,69,49,41.5,1,118,20230630,2683150,1253150
1435706,99,9.1,5.1,1,16.2,37.4,23.2,4,4,10.5,19.7,30.3,48,51,51.5,72,27,27.3,1,99,20230630,2683150,1253250
1435769,50,22,14,2,0,48,10,4,0,6.9,65.5,72.4,28,22,44,42,8,16,1,50,20230630,2682950,1253550
1411950,128,0,0,0,0,3.1,2.3,39.8,54.7,1728.6,0,1728.6,45,83,64.8,114,14,10.9,1,128,20230630,2682950,1253750
1424868,5,0,0,0,20,40,20,20,0,25,0,25,-999,-999,-999,-999,-999,-999,1,5,20230630,2682950,1255050
1424386,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,-999,20230630,2683150,1255950
1419107,34,0,5.9,8.8,8.8,5.9,29.4,41.2,0,93.3,33.3,126.7,17,17,50,-999,-999,-999,1,34,20230630,2683250,1237450
1433113,9,0,0,0,11.1,22.2,33.3,33.3,0,50,0,50,-999,-999,-999,-999,-999,-999,1,9,20230630,2683250,1237650
1427530,17,5.9,17.6,11.8,11.8,23.5,29.4,0,0,0,54.5,54.5,9,8,47.1,-999,-999,-999,1,17,20230630,2683350,1237550
1446714,6,0,0,33.3,0,33.3,16.7,16.7,0,33.3,66.7,100,-999,-999,-999,-999,-999,-999,1,6,20230630,2683350,1239250
1416753,68,7.4,8.8,1.5,2.9,29.4,23.5,19.1,7.4,47.4,31.6,78.9,31,37,54.4,42,26,38.2,1,68,20230630,2683250,1241350
1440742,114,6.1,6.1,1.8,0,28.1,29.8,18.4,9.6,48.5,24.2,72.7,56,58,50.9,72,42,36.8,1,114,20230630,2683350,1241750
1435144,95,3.2,6.3,5.3,4.2,31.6,40,4.2,5.3,12.5,19.4,31.9,53,42,44.2,64,31,32.6,1,95,20230630,2683250,1242350
1433749,16,12.5,6.3,0,0,25,31.3,18.8,6.3,44.4,33.3,77.8,7,9,56.3,12,4,25,1,16,20230630,2683350,1242550
1430319,49,10.2,4.1,0,0,46.9,14.3,10.2,14.3,40,23.3,63.3,22,27,55.1,33,16,32.7,1,49,20230630,2683250,1242750
1413138,73,1.4,21.9,2.7,1.4,8.2,37,20.5,6.8,58.8,55.9,114.7,38,35,47.9,48,25,34.2,1,73,20230630,2683250,1242950
1424166,6,0,0,0,0,33.3,33.3,33.3,0,50,0,50,-999,-999,-999,-999,-999,-999,1,6,20230630,2683250,1246950
1418405,79,0,11.4,5.1,3.8,29.1,24.1,22.8,3.8,46.7,28.9,75.6,33,46,58.2,74,5,6.3,1,79,20230630,2683350,1247550
1422826,40,0,0,0,7.5,65,12.5,12.5,2.5,17.6,0,17.6,25,15,37.5,18,22,55,1,40,20230630,2683350,1248350
1435772,131,6.9,0,0.8,3.1,65.6,14.5,5.3,3.8,11,9.2,20.2,71,60,45.8,64,67,51.1,1,131,20230630,2683250,1248650
1435207,143,4.9,21,4.9,4.2,20.3,28.7,14.7,1.4,30.3,57.9,88.2,72,71,49.7,129,14,9.8,1,143,20230630,2683350,1249650
1417909,47,2.1,8.5,0,21.3,23.4,14.9,21.3,8.5,50,17.9,67.9,21,26,55.3,39,8,17,1,47,20230630,2683250,1250550
1412589,31,3.2,12.9,0,19.4,12.9,48.4,0,3.2,4,20,24,19,12,38.7,-999,-999,-999,1,31,20230630,2683350,1251250
1430108,95,3.2,2.1,0,3.2,73.7,13.7,3.2,1.1,4.7,5.8,10.5,54,41,43.2,54,41,43.2,1,95,20230630,2683350,1251650
1422524,65,9.2,23.1,6.2,0,29.2,29.2,3.1,0,5.3,65.8,71.1,36,29,44.6,35,30,46.2,1,65,20230630,2683350,1252250
1418856,25,0,0,0,4,76,16,4,0,4.2,0,4.2,13,12,48,9,16,64,1,25,20230630,2683250,1252650
1412592,81,6.2,2.5,3.7,2.5,48.1,16,17.3,3.7,31.5,18.5,50,47,34,42,39,42,51.9,1,81,20230630,2683350,1252550
1441606,69,10.1,4.3,1.4,18.8,33.3,14.5,17.4,0,26.1,23.9,50,31,38,55.1,53,16,23.2,1,69,20230630,2683250,1252850
1447354,12,25,0,0,0,50,0,16.7,8.3,50,50,100,8,4,33.3,-999,-999,-999,1,12,20230630,2683350,1252950
1429982,179,6.1,14.5,9.5,6.7,33,19.6,9.5,1.1,17.9,50.9,68.9,80,99,55.3,113,66,36.9,1,179,20230630,2683350,1253650
1434463,180,7.8,3.9,2.2,3.3,43.9,26.1,8.9,3.9,17.4,18.9,36.4,92,88,48.9,77,103,57.2,1,180,20230630,2683350,1253850
1445307,66,3,3,3,0,27.3,34.8,13.6,15.2,46.3,14.6,61,27,39,59.1,50,16,24.2,1,66,20230630,2683450,1237950
1430696,65,7.7,4.6,4.6,4.6,46.2,24.6,4.6,3.1,10.2,22.4,32.7,31,34,52.3,32,33,50.8,1,65,20230630,2683550,1238050
1429195,7,14.3,14.3,0,0,14.3,28.6,28.6,0,66.7,66.7,133.3,-999,-999,-999,-999,-999,-999,1,7,20230630,2683450,1238250
1434647,60,3.3,8.3,1.7,3.3,30,33.3,16.7,3.3,30,20,50,29,31,51.7,32,28,46.7,1,60,20230630,2683550,1238150
1441907,14,7.1,7.1,0,7.1,35.7,35.7,7.1,0,9.1,18.2,27.3,7,7,50,7,7,50,1,14,20230630,2683550,1238350
1431519,11,0,0,0,0,27.3,72.7,0,0,0,0,0,-999,-999,-999,-999,-999,-999,1,11,20230630,2683550,1239450
1436416,14,0,7.1,7.1,7.1,7.1,35.7,28.6,7.1,71.4,28.6,100,8,6,42.9,-999,-999,-999,1,14,20230630,2683650,1240350
1413114,26,3.8,7.7,0,0,30.8,38.5,11.5,7.7,27.8,16.7,44.4,12,14,53.8,18,8,30.8,1,26,20230630,2683650,1241650
1440045,36,5.6,11.1,8.3,8.3,11.1,38.9,16.7,0,28.6,42.9,71.4,21,15,41.7,27,9,25,1,36,20230630,2683450,1242150
1441501,49,8.2,14.3,2,4.1,14.3,34.7,14.3,8.2,42.3,46.2,88.5,21,28,57.1,44,5,10.2,1,49,20230630,2683650,1241950
1446043,31,3.2,0,6.5,16.1,29,22.6,19.4,3.2,33.3,14.3,47.6,16,15,48.4,21,10,32.3,1,31,20230630,2683550,1242950
1427027,122,5.7,9,4.9,2.5,27.9,24.6,18.9,6.6,46.3,35.8,82.1,65,57,46.7,98,24,19.7,1,122,20230630,2683550,1247150
1427147,68,4.4,4.4,1.5,5.9,35.3,30.9,14.7,2.9,24.5,14.3,38.8,38,30,44.1,40,28,41.2,1,68,20230630,2683550,1247250
1439077,227,2.2,2.2,0.9,9.3,50.2,18.9,13.2,3.1,20.8,6.7,27.5,139,88,38.8,114,113,49.8,1,227,20230630,2683450,1247450
1436185,90,2.2,4.4,3.3,21.1,18.9,7.8,14.4,27.8,88.4,20.9,109.3,42,48,53.3,63,27,30,1,90,20230630,2683550,1248050
1418073,183,0.5,0,4.4,36.6,44.3,8.7,4.4,1.1,6.1,5.5,11.6,107,76,41.5,63,120,65.6,1,183,20230630,2683550,1248150
1421799,63,4.8,1.6,1.6,0,55.6,34.9,1.6,0,1.8,8.8,10.5,33,30,47.6,33,30,47.6,1,63,20230630,2683450,1248350
1440668,135,5.2,3,1.5,5.2,54.1,19.3,8.9,3,15.1,12.3,27.4,67,68,50.4,80,55,40.7,1,135,20230630,2683650,1248550
1431258,170,4.1,4.7,2.9,2.4,37.6,31.2,13.5,3.5,24,16.5,40.5,91,79,46.5,121,49,28.8,1,170,20230630,2683450,1248950
1444082,126,5.6,2.4,0.8,4.8,60.3,15.9,7.1,3.2,12.7,10.8,23.5,68,58,46,81,45,35.7,1,126,20230630,2683550,1249450
1432117,86,5.8,11.6,2.3,2.3,26.7,29.1,18.6,3.5,38,34,72,39,47,54.7,71,15,17.4,1,86,20230630,2683650,1249450
1411603,140,2.9,2.9,0.7,13.6,42.9,21.4,13.6,2.1,20.2,8.3,28.4,74,66,47.1,101,39,27.9,1,140,20230630,2683550,1249650
1433484,9,0,22.2,0,22.2,0,44.4,11.1,0,16.7,33.3,50,5,4,44.4,-999,-999,-999,1,9,20230630,2683450,1249850
1432005,114,6.1,7,6.1,7.9,30.7,25.4,7.9,8.8,26,30.1,56.2,59,55,48.2,90,24,21.1,1,114,20230630,2683550,1250550
1439847,101,1,12.9,4,10.9,23.8,35.6,8.9,3,16.9,25.4,42.3,48,53,52.5,74,27,26.7,1,101,20230630,2683650,1250550
1414285,46,8.7,0,0,0,67.4,6.5,10.9,6.5,23.5,11.8,35.3,26,20,43.5,29,17,37,1,46,20230630,2683650,1251350
1439940,204,7.4,2.5,2,7.8,55.9,19.1,4.9,0.5,6.5,14.2,20.7,113,91,44.6,107,97,47.5,1,204,20230630,2683650,1251650
1416513,112,12.5,3.6,0,0.9,75.9,6.3,0.9,0,1.1,19.4,20.4,71,41,36.6,5,107,95.5,1,112,20230630,2683650,1252050
1439826,220,1.4,5,0.9,11.4,59.1,15.9,5.5,0.9,7.4,8.4,15.8,115,105,47.7,128,92,41.8,1,220,20230630,2683650,1252150
1426045,203,3.9,4.4,2,9.4,42.9,26.1,7.9,3.4,14.5,13.2,27.7,113,90,44.3,80,123,60.6,1,203,20230630,2683650,1252450
1421006,172,1.2,5.2,1.2,23.3,52.3,8.7,7.6,0.6,9.7,9,18.6,97,75,43.6,73,99,57.6,1,172,20230630,2683550,1252550
1434703,83,7.2,13.3,1.2,2.4,32.5,20.5,15.7,7.2,41.3,39.1,80.4,46,37,44.6,69,14,16.9,1,83,20230630,2683650,1253050
1416860,29,3.4,13.8,10.3,0,6.9,34.5,13.8,17.2,75,66.7,141.7,14,15,51.7,-999,-999,-999,1,29,20230630,2683550,1253250
1430073,129,7.8,7.8,5.4,11.6,26.4,23.3,13.2,4.7,29.1,34.2,63.3,60,69,53.5,104,25,19.4,1,129,20230630,2683550,1253350
1439568,165,4.8,7.3,7.9,5.5,29.7,30.9,12.1,1.8,21.1,30.3,51.4,86,79,47.9,95,70,42.4,1,165,20230630,2683650,1253550
1434224,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,-999,20230630,2683650,1260350
1433763,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,-999,20230630,2683550,1260550
1418278,88,4.5,6.8,2.3,4.5,35.2,28.4,17,1.1,26.7,20,46.7,44,44,50,62,26,29.5,1,88,20230630,2683550,1260750
1446574,16,0,12.5,18.8,0,6.3,25,25,12.5,120,100,220,8,8,50,11,5,31.3,1,16,20230630,2683750,1237350
1421990,113,4.4,6.2,7.1,9.7,16.8,37.2,13.3,5.3,29.2,27.8,56.9,51,62,54.9,98,15,13.3,1,113,20230630,2683750,1237450
1422444,64,6.3,9.4,0,6.3,29.7,25,18.8,4.7,38.5,25.6,64.1,34,30,46.9,36,28,43.8,1,64,20230630,2683850,1237550
1428468,25,16,4,4,8,28,16,16,8,46.2,46.2,92.3,13,12,48,-999,-999,-999,1,25,20230630,2683950,1239950
1430608,37,2.7,2.7,8.1,16.2,24.3,37.8,8.1,0,10.3,17.2,27.6,24,13,35.1,29,8,21.6,1,37,20230630,2683850,1241050
1427747,40,7.5,10,7.5,7.5,17.5,32.5,17.5,0,30.4,43.5,73.9,18,22,55,35,5,12.5,1,40,20230630,2683850,1241450
1417979,37,0,2.7,8.1,8.1,10.8,45.9,21.6,2.7,37.5,16.7,54.2,16,21,56.8,24,13,35.1,1,37,20230630,2683850,1241750
1425525,41,12.2,9.8,9.8,2.4,29.3,31.7,4.9,0,7.7,50,57.7,17,24,58.5,25,16,39,1,41,20230630,2683850,1241950
1425411,128,14.8,6.3,0.8,0.8,44.5,21.9,8.6,2.3,16.3,32.6,48.8,68,60,46.9,60,68,53.1,1,128,20230630,2683950,1241950
1419649,17,17.6,0,0,0,41.2,35.3,0,5.9,7.7,23.1,30.8,11,6,35.3,5,12,70.6,1,17,20230630,2683750,1242750
1423467,14,0,0,0,0,35.7,28.6,35.7,0,55.6,0,55.6,8,6,42.9,-999,-999,-999,1,14,20230630,2683950,1245650
1445799,47,0,6.4,2.1,0,46.8,23.4,17,4.3,30.3,12.1,42.4,22,25,53.2,25,22,46.8,1,47,20230630,2683850,1245950
